代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
167407534821343232, 002291, 0P0001CST4, 诺安安鑫灵活配置混合, 积极配置 - 大盘成长, 5, 0, -26.09
167407539770621952, 005760, 0P0001DDH9, 富国周期优势混合A, 沪港深积极配置, 5, 0, -24.48
167407542035546112, 160624, 0P00011FQB, 鹏华消费领先混合, 积极配置 - 大盘成长, 5, 5, -28.73
167407544132698112, 487016, 0P0001CP2G, 工银灵活配置混合A, 标准混合, 5, 0, -22.41
167407547978874880, 002067, 0P00017NDE, 诺安精选回报灵活配置混合, 灵活配置, 5, 5, -8.12
167407554861727744, 007012, 0P0001FVJT, 湘财长顺混合A, 积极配置 - 大盘成长, 5, 0, -19.89
167407562117873664, 006528, 0P0001FDTB, 富国优质发展混合C, 沪港深积极配置, 5, 0, -23.11
167407567494971392, 006052, 0P0001FDKV, 鹏扬核心价值灵活配置混合C, 沪港深积极配置, 5, 0, -31.60
167407570988826624, 005535, 0P0001CHSB, 泰信竞争优选灵活配置混合, 积极配置 - 大盘成长, 5, 0, -28.62
167407575539646464, 001120, 0P00015KAB, 东方睿鑫热点挖掘灵活配置混合A, 积极配置 - 大盘平衡, 5, 4, -25.73
167407580098854912, 540003, F000000426, 汇丰晋信动态策略混合A, 积极配置 - 大盘平衡, 5, 5, -26.45
167407585681473536, 960003, 0P00017AFI, 汇丰晋信动态策略混合H, 积极配置 - 大盘平衡, 5, 5, -26.43
167407590072909824, 001616, 0P000171KA, 嘉实环保低碳股票, 大盘成长股票, 5, 4, -33.74
167407592040038400, 161222, 0P00018I00, 国投瑞银瑞利灵活配置混合（LOF）, 灵活配置, 5, 5, -6.51
167407594149773312, 210003, F0000004FZ, 金鹰行业优势混合, 积极配置 - 大盘成长, 5, 5, -34.61
167407595789746176, 688888, 0P0000SVXH, 浙商聚潮产业成长混合A, 积极配置 - 大盘平衡, 5, 3, -9.32
167407597404553216, 001276, 0P00015ZIQ, 建信新经济灵活配置混合, 灵活配置, 5, 4, -16.23
167407598998388736, 000462, 0P00015OBS, 农银主题轮动灵活配置混合, 灵活配置, 5, 5, -38.89
167407622071255040, 001359, 0P000162ZH, 国联安添鑫灵活配置混合A, 灵活配置, 5, 4, -13.96
167407624348762112, 000831, 0P00014IRS, 工银医疗保健股票, 行业股票-医药, 5, 4, -23.83
167407626282336256, 001654, 0P00016CM3, 国联安添鑫灵活配置混合C, 灵活配置, 5, 4, -13.99
167407627989417984, 000556, 0P00012BW8, 国投瑞银新机遇灵活配置混合A, 灵活配置, 5, 5, -2.45
167407638248685568, 002133, 0P000195D5, 广发鑫益灵活配置混合, 灵活配置, 5, 4, -27.74
167407642115833856, 001487, 0P00016G1V, 宝盈优势产业灵活配置混合A, 积极配置 - 大盘成长, 5, 5, -38.80
