代码,晨星专属号,名称,类型,三年评级,五年评级,今年回报率
67707347841056768, 000746, 0P00013VQP, 招商行业精选股票, 普通股票型, 5, 5, -0.92
67707354325450752, 004616, 0P0001AIRX, 中欧电子信息产业沪港深股票A, 沪港深股票型基金, 5, 0, 35.82
67707360071647232, 001718, 0P000175SJ, 工银瑞信物流产业股票, 普通股票型, 5, 5, 21.80
67707366820282368, 005643, 0P0001CNFQ, 鹏扬景升灵活配置混合C, 沪港深积极配置型, 5, 0, 17.67
67707373967376384, 519089, F0000004AN, 新华优选成长混合, 积极配置型, 5, 3, 27.09
67707380141391872, 166019, 0P0000YI7R, 中欧价值智选回报混合A, 积极配置型, 5, 4, 33.55
67707385744982016, 001496, 0P000167S2, 工银瑞信聚焦30股票, 普通股票型, 5, 3, 21.00
67707391952551936, 001766, 0P00016JIH, 上投摩根医疗健康股票, 行业股票 - 医药, 5, 5, 12.40
67707397900075008, 001714, 0P000172IG, 工银瑞信文体产业股票A, 普通股票型, 5, 5, 12.93
67707403390418944, 570008, 0P0000VCNW, 诺德周期策略混合, 积极配置型, 5, 5, 7.22
67707453852090368, 005241, 0P0001CIFH, 中欧时代智慧混合A, 沪港深积极配置型, 5, 0, 8.32
67707459875110912, 004235, 0P00019LX7, 中欧价值智选回报混合C, 积极配置型, 5, 0, 32.97
67707467068342272, 001009, 0P000159EI, 上投摩根安全战略股票, 普通股票型, 5, 4, 14.93
67707472139255808, 001072, 0P00015MAC, 华安智能装备主题股票, 普通股票型, 5, 4, 30.93
67707477319221248, 610002, F0000004AG, 信达澳银精华配置混合A, 积极配置型, 5, 5, 25.23
67707483010891776, 540003, F000000426, 汇丰晋信动态策略混合A, 积极配置型, 5, 4, 27.71
67707489453342720, 001869, 0P00016WTK, 招商制造业转型灵活配置混合A, 积极配置型, 5, 5, 14.19
67707495514112000, 750001, 0P0000W75L, 安信灵活配置混合, 积极配置型, 5, 4, 21.67
67707501834928128, 005242, 0P0001CIFI, 中欧时代智慧混合C, 沪港深积极配置型, 5, 0, 7.84
67707508562591744, 004868, 0P0001BD01, 交银施罗德股息优化混合, 积极配置型, 5, 0, 5.67
67707514921156608, 320022, 0P00015MOZ, 诺安研究精选股票, 普通股票型, 5, 5, 13.94
67707521829175296, 166801, 0P0000V9U3, 浙商聚潮新思维混合, 标准混合型, 5, 4, 28.48
67707527491485696, 270007, F00000043H, 广发大盘成长混合, 积极配置型, 5, 4, 3.24
67707533199933440, 001677, 0P00016YVN, 中银战略新兴产业股票A, 普通股票型, 5, 5, 28.90
67707539621412864, 001043, 0P00015HXD, 工银美丽城镇主题股票A, 普通股票型, 5, 5, 15.07
67707546802061312, 163807, F0000004EQ, 中银优选混合A, 积极配置型, 5, 5, 22.20
67707552309182464, 960003, 0P00017AFI, 汇丰晋信动态策略混合H, 积极配置型, 5, 4, 27.62
67707557698863104, 001071, 0P00015WGK, 华安媒体互联网混合, 积极配置型, 5, 3, 23.70
67707562778165248, 004424, 0P0001DBL4, 汇添富文体娱乐主题混合, 沪港深积极配置型, 5, 0, -0.79
67707567945547776, 001705, 0P00016VX0, 泓德战略转型股票, 普通股票型, 5, 5, 11.25
67707573196816384, 004040, 0P0001D4OB, 金鹰医疗健康产业股票A, 行业股票 - 医药, 5, 0, 28.35
67707578741686272, 163822, 0P0000WMHT, 中银主题策略混合, 积极配置型, 5, 3, 21.14
67707584521437184, 001938, 0P00016WFU, 中欧时代先锋股票A, 普通股票型, 5, 5, 18.50
67707589944672256, 000529, 0P00011UFQ, 广发竞争优势灵活配置混合A, 积极配置型, 5, 5, 4.87
67707594516463616, 001975, 0P000179WD, 景顺长城环保优势股票, 普通股票型, 5, 5, 22.25
67707642805485568, 519003, F0000003VG, 海富通收益增长混合, 标准混合型, 5, 5, 19.90
67707647729598464, 000294, 0P0000ZT7Z, 华安生态优先混合, 积极配置型, 5, 5, -1.09
67707653446434816, 000751, 0P00013WJV, 嘉实新兴产业股票, 普通股票型, 5, 5, 4.80
67707658567680000, 100020, F0000003W7, 富国天益价值混合A, 积极配置型, 5, 5, 8.26
67707665400201216, 000634, 0P00012UGD, 富国天盛灵活配置混合, 积极配置型, 5, 5, 4.12
67707670756327424, 450011, 0P0000VVE6, 国富研究精选混合, 积极配置型, 5, 4, 16.81
67707676175368192, 000513, 0P00013452, 富国高端制造行业股票, 普通股票型, 5, 4, 8.90
67707682127085568, 960021, 0P00017JTP, 富兰克林国海潜力组合混合H 人民币, 积极配置型, 5, 4, 11.94
67707687529349120, 487016, 0P0001CP2G, 工银瑞信灵活配置混合A, 标准混合型, 5, 0, 15.14
67707692377964544, 162203, F020162203, 泰达宏利稳定混合, 积极配置型, 5, 5, -2.41
67707697696342016, 163415, 0P0000XBF0, 兴全商业模式优选混合(LOF), 积极配置型, 5, 5, 3.09
67707702897278976, 519714, 0P00016BED, 交银施罗德消费新驱动股票, 普通股票型, 5, 5, 6.27
67707707561345024, 002891, 0P000195H9, 华夏移动互联灵活配置混合(QDII)人民币, 环球股债混合, 5, 0, 4.92
67707712913276928, 004569, 0P0001AFK1, 招商制造业转型灵活配置混合C, 积极配置型, 5, 0, 13.68
67707718386843648, 004241, 0P00019LX8, 中欧时代先锋股票C, 普通股票型, 5, 0, 17.96
67707723965267968, 163409, 0P0000SSDU, 兴全绿色投资混合(LOF), 积极配置型, 5, 4, 21.71
67707729283645440, 360006, F00000040M, 光大保德信新增长混合, 积极配置型, 5, 4, 10.12
67707734346170368, 519097, 0P0000S1IW, 新华中小市值优选混合, 积极配置型, 5, 3, 11.87
67707739266088960, 000803, 0P000148Y4, 工银研究精选股票, 普通股票型, 5, 4, 5.69
67707744605437952, 005235, 0P0001BSD9, 银华食品饮料量化优选股票A, 行业股票 - 消费, 5, 0, 3.19
67707750288719872, 005236, 0P0001BSDA, 银华食品饮料量化优选股票C, 行业股票 - 消费, 5, 0, 2.95
67707756596953088, 450003, F000000425, 富兰克林国海潜力组合混合A 人民币, 积极配置型, 5, 4, 12.91
67707761927913472, 005742, 0P0001CXZA, 南方成安优选灵活配置混合, 沪港深积极配置型, 5, 0, 5.65
67707767015604224, 005533, 0P0001DCLD, 银华国企改革混合, 标准混合型, 5, 0, 12.54
67707771683864576, 005233, 0P0001C5QV, 广发睿毅领先混合A, 积极配置型, 5, 0, 20.72
67707815162019840, 002893, 0P000195HA, 华夏移动互联灵活配置混合(QDII)美元现钞, 环球股债混合, 5, 0, 4.72
67707820555894784, 005106, 0P0001BJV8, 银华农业产业股票, 行业股票 - 消费, 5, 0, -6.01
67707825748443136, 001605, 0P000176Q4, 富兰克林国海沪港深成长精选股票, 沪港深股票型基金, 5, 0, 8.62
67707831356227584, 001603, 0P00019IR0, 易方达安盈回报混合, 保守混合型, 5, 0, 15.66
67707836234203136, 270023, 0P00013BYF, 广发全球精选股票(QDII), 环球股票, 5, 5, 0.78
67707842471133184, 040046, 0P0000YXTA, 华安纳斯达克100指数QDII - 人民币, 美国股票, 5, 5, 14.65
67707847277805568, 040048, 0P0000YXTC, 华安纳斯达克100指数QDII - 美元现汇, 美国股票, 5, 5, 14.43
67707852520685568, 004965, 0P0001BFFO, 泓德致远混合A, 保守混合型, 5, 0, 1.33
67707858065555456, 004966, 0P0001BFFP, 泓德致远混合C, 保守混合型, 5, 0, 0.87
67707862851256320, 240018, 0P0000SOSM, 华宝可转债债券A, 可转债基金, 5, 4, 17.97
67707868219965440, 001045, 0P00018K8E, 华夏可转债增强债券A, 可转债基金, 5, 0, 6.20
67707873290878976, 005706, 0P0001CXPQ, 兴业龙腾双益平衡混合, 保守混合型, 5, 0, 3.81
67707878768640000, 040018, 0P0000PPFK, 华安香港精选股票(QDII), 大中华区股票, 5, 5, 10.85
67707884586139648, 002892, 0P000195HB, 华夏移动互联灵活配置混合(QDII)美元现汇, 环球股债混合, 5, 0, 4.72
67707890164563968, 001396, 0P00016458, 建信互联网+产业升级股票, 行业股票 - 科技、传媒及通讯, 5, 5, 21.02
67707895784931328, 070002, F020070002, 嘉实增长混合, 标准混合型, 5, 4, 5.72
67707900629352448, 005357, 0P0001CGJL, 富国国企改革灵活配置混合, 沪港深保守混合型, 5, 0, 15.28
67707905268252672, 000906, 0P0001586G, 广发全球精选股票(QDII)美元现汇, 环球股票, 5, 5, 0.58
67707910511132672, 040047, 0P0000YXTB, 华安纳斯达克100指数QDII - 美元现钞, 美国股票, 5, 5, 14.43
67707915460411392, 000297, 0P000156SC, 鹏华可转债债券A, 可转债基金, 5, 5, 16.28
67707920543907840, 001182, 0P000162HN, 易方达安心回馈混合, 保守混合型, 5, 5, 5.07
67707924985675776, 217002, F020217002, 招商安泰平衡混合, 保守混合型, 5, 4, 11.79
67707930060783616, 005809, 0P0001D4LR, 前海开源裕源混合型基金中基金(FOF), 保守混合型, 5, 0, 5.95
67707934842290176, 003204, 0P0001A90H, 财通收益增强债券C, 积极债券型, 5, 0, 17.79
67707940185833472, 210014, 0P0001BN2C, 金鹰元丰债券, 积极债券型, 5, 0, 17.70
67707983605268480, 001901, 0P00019S8F, 前海开源沪港深隆鑫灵活配置混合A, 沪港深保守混合型, 5, 0, 13.75
67707988915257344, 675011, 0P0000W7MV, 西部利得稳健双利债券A, 积极债券型, 5, 5, 15.24
67707993889701888, 675013, 0P0000W7MX, 西部利得稳健双利债券C, 积极债券型, 5, 5, 14.92
67707999036112896, 001751, 0P00016H52, 华商信用增强债券A, 积极债券型, 5, 2, 29.64
67708004350296064, 005664, 0P0001CNFR, 鹏扬景欣混合A, 保守混合型, 5, 0, 8.09
67708009370877952, 005665, 0P0001CNFS, 鹏扬景欣混合C, 保守混合型, 5, 0, 7.84
67708013938475008, 000014, 0P0000Y35F, 华夏聚利债券, 积极债券型, 5, 5, 8.13
67708018942279680, 360013, 0P0000STW8, 光大保德信信用添益债券A, 积极债券型, 5, 5, 5.71
67708023761534976, 360014, 0P0000STW9, 光大保德信信用添益债券C, 积极债券型, 5, 5, 5.43
67708029172187136, 003134, 0P00018KU3, 易方达裕鑫债券C, 积极债券型, 5, 0, 4.78
67708034926772224, 002459, 0P0001967S, 华夏鼎利债券A, 积极债券型, 5, 0, 3.07
67708040568111104, 004687, 0P0001C2CM, 汇添富熙和精选混合A, 保守混合型, 5, 0, 10.87
67708046347862016, 003458, 0P00019T3Z, 嘉实稳宏债券A, 积极债券型, 5, 0, 12.13
67708052144390144, 001902, 0P00019S8G, 前海开源沪港深隆鑫灵活配置混合C, 沪港深保守混合型, 5, 0, 13.70
67708058020610048, 320004, F00000040B, 诺安优化收益债券, 积极债券型, 5, 5, 10.25
67708062789533696, 005014, 0P0001BU8V, 泰康景泰回报混合A, 保守混合型, 5, 0, 9.11
67708067751395328, 005015, 0P0001BU8W, 泰康景泰回报混合C, 保守混合型, 5, 0, 8.92
67708072797143040, 001752, 0P00016H53, 华商信用增强债券C, 积极债券型, 5, 2, 29.34
67708079268954112, 004932, 0P0001BI6N, 招商丰拓灵活配置混合A, 保守混合型, 5, 0, 8.83
67708084792852480, 000121, 0P0000Z3OX, 华夏永福混合A, 保守混合型, 5, 5, 3.83
67708091273052160, 004933, 0P0001BI6O, 招商丰拓灵活配置混合C, 保守混合型, 5, 0, 8.46
67708097468039168, 003133, 0P00018KU2, 易方达裕鑫债券A, 积极债券型, 5, 0, 4.90
67708103717552128, 160125, 0P00015R9J, 南方香港优选股票QDII-LOF, 大中华区股票, 5, 4, 14.58
67708111183413248, 002460, 0P0001967T, 华夏鼎利债券C, 积极债券型, 5, 0, 3.09
67708116958969856, 320021, 0P0000X7PS, 诺安双利债券发起, 积极债券型, 5, 5, 2.62
67708164551737344, 110035, 0P0000UGBS, 易方达双债增强债券 - A, 积极债券型, 5, 5, 11.50
67708171052908544, 004271, 0P0001BHLP, 汇添富民丰回报混合C, 保守混合型, 5, 0, 10.41
67708178028036096, 004267, 0P00019LLB, 金鹰持久增利债券(LOF)E, 积极债券型, 5, 0, 7.21
67708184508235776, 110036, 0P0000UGBT, 易方达双债增强债券 - C, 积极债券型, 5, 5, 11.25
67708190837440512, 630009, 0P0000SDKU, 华商稳定增利债券A, 积极债券型, 5, 5, 10.86
67708197351194624, 002351, 0P00017AMH, 易方达裕祥回报债券, 积极债券型, 5, 5, 4.85
67708203751702528, 162105, 0P00015HW3, 金鹰持久增利债券(LOF)C, 积极债券型, 5, 4, 6.99
67708209871192064, 630109, 0P0000SDKV, 华商稳定增利债券C, 积极债券型, 5, 5, 10.59
67708216863096832, 001685, 0P00018CFA, 汇添富沪港深新价值股票, 香港股票型基金, 5, 0, 13.40
